Weight Class,Seed,Name,School
197,32,Blake Schaffer,Kent State
197,33,Karson Tompkins,Air Force
285,1,Yonger Bastida,Iowa State
285,2,Isaac Trumble,NC State
285,3,Taye Ghadiali,Michigan
285,4,AJ Ferrari,Nebraska
285,5,Nick Feldman,Ohio State
285,6,Nathan Taylor,Lehigh
285,7,Konner Doucet,Oklahoma State
285,8,Ben Kueter,Iowa
285,9,Cole Mirasola,Penn State
285,10,David Szuba,Arizona State
285,11,Devon Dawson,Northern Illinois
285,12,Braxton Amos,Wisconsin
285,13,Spencer Lanosga,Navy
285,14,Koy Hopke,Minnesota
285,15,Brady Colbert,Army
285,16,Jimmy Mullen,Virginia Tech
285,17,Vincent Mueller,Columbia
285,18,Christian Carroll,Wyoming
285,19,Nate Schon,Drexel
285,20,Dayton Pitzer,Pittsburgh
285,21,Juan Mora,Oklahoma
285,22,Trevor Tinker,Cal Poly
285,23,Stephan Monchery,Appalachian State
285,24,Connor Barket,Duke
285,25,Alex Semenenko,Brown
285,26,Luke Luffman,Illinois
285,27,Hunter Catka,Rutgers
285,28,Jarrett Stoner,Missouri
285,29,Luke Rasmussen,South Dakota State
285,30,Jack Forbes,Utah Valley
285,31,Brenan Morgan,Virginia
285,32,Emmanuel Ulrich,American
285,33,Mason Rebuck,Bloomsburg
